City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel name,Hotel Name
498,Swellendam,ZA,62.4,overcast clouds,-34.0226,20.4417,,De Kloof Heritage Estate boutique Hotel & SPA
500,Sao Filipe,CV,78.35,overcast clouds,14.8961,-24.4956,,Hotel Xaguate
503,Yulara,AU,64.02,clear sky,-25.2406,130.9889,,Desert Gardens Hotel - Ayers Rock Resort
504,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,,Radisson Grenada Beach Resort
510,Long,TH,70.12,few clouds,18.0761,99.8326,,Nopphakoe Homestay
513,Kismayo,SO,77.2,clear sky,-0.3582,42.5454,,Agan-Hotel
514,Marawi,PH,72.0,overcast clouds,7.9986,124.2928,,Derogongan Residence
516,Kieta,PG,82.92,light rain,-6.2167,155.6333,,Uruna Bay Retreat
517,Kirakira,SB,84.22,scattered clouds,-10.4544,161.9205,,SanBiz Lodge
519,Hobyo,SO,77.88,broken clouds,5.3505,48.5268,,Halane Hotel and Restaurent
520,Menongue,AO,64.85,overcast clouds,-14.6585,17.691,,Ritz Lauca
522,Presidencia Roque Saenz Pena,AR,60.39,overcast clouds,-26.7852,-60.4388,,Hotel Gualok
523,Ballina,AU,68.77,light rain,-28.8667,153.5667,,Ramada Hotel & Suites by Wyndham Ballina Byron
526,Luang Prabang,LA,62.2,broken clouds,19.8856,102.1347,,The Luang Say Residence
528,Porto Santo,PT,71.98,few clouds,33.072,-16.3415,,Hotel Porto Santo & Spa
530,Lichtenburg,ZA,62.13,overcast clouds,-26.152,26.1597,,Kennzy Guest House
532,Chalmette,US,75.2,scattered clouds,29.9427,-89.9634,,Marina Inn & Suites Chalmette-New Orleans
535,Isthmia,GR,65.39,clear sky,37.9121,22.9999,,Kalamaki Beach Hotel
537,Florianopolis,BR,67.23,clear sky,-27.6146,-48.5012,,Hotel Boutique Quinta das Videiras
539,Bac Giang,VN,77.07,broken clouds,21.2667,106.2,,An Binh Hotel 2
540,Salalah,OM,75.87,overcast clouds,17.0151,54.0924,,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
542,Santa Maria,BR,63.7,broken clouds,-29.6842,-53.8069,,Hotel Morotin
543,Jambi,ID,74.05,overcast clouds,-1.6,103.6167,,ASTON Jambi Hotel & Conference Center
546,Korhogo,CI,74.16,scattered clouds,9.45,-5.6333,,Hôtel Tchinbota
549,Itaituba,BR,75.11,overcast clouds,-4.2761,-55.9836,,Hotel Campos
551,Champerico,GT,81.14,light rain,14.3,-91.9167,,"Hotel y restaurante ""El Diamante"""
553,Sciacca,IT,66.04,scattered clouds,37.5082,13.0881,,Hotel Aliai
554,Diu,IN,77.95,few clouds,20.7141,70.9822,,Hotel Relax Inn
555,Aguilas,ES,72.32,clear sky,37.4063,-1.5829,,Hotel Carlos III
556,Huarmey,PE,62.83,few clouds,-10.0681,-78.1522,,Hotel Miramar
558,Gushikawa,JP,72.63,overcast clouds,26.3544,127.8686,,Kirari Guest House
560,La Libertad,EC,67.66,overcast clouds,-2.2333,-80.9,,Playa Canela Hotel Boutique
561,Requena,ES,60.78,scattered clouds,39.4883,-1.1004,,Hotel Avenida
563,Lamar,US,62.51,clear sky,33.6668,-95.5836,,Kings Inn Paris TX
565,Boyolangu,ID,77.27,light rain,-8.1181,111.8935,,Yos ega cv
566,Zamora,EC,78.04,light rain,-4.0692,-78.9567,,Cabañas Ecológicas Copalinga
567,Yaring,TH,77.85,overcast clouds,6.8662,101.3689,,สถานที่จัดงานแต่ง SOFEE & DORN
568,Nanning,CN,68.45,overcast clouds,22.8167,108.3167,,Nanning Travelling With Hostel
569,Winslow,US,62.78,scattered clouds,35.0242,-110.6974,,Best Western Plus Winslow Inn
570,Biankouma,CI,68.54,few clouds,7.7391,-7.6138,,NIMBO SAMA
571,Newcastle,AU,68.72,scattered clouds,-32.9272,151.7765,,NOAH'S on the beach
572,Waipawa,NZ,60.98,clear sky,-41.4122,175.5153,,Tora Coastal Walk
573,Sabha,LY,67.32,clear sky,27.0377,14.4283,,محطة ام الارانب -سبها مواصلات
575,Borba,BR,72.93,heavy intensity rain,-4.3878,-59.5939,,Hotel da Amazônia
576,Cajati,BR,65.26,overcast clouds,-24.7361,-48.1228,,Lanchonete e Hotel Cortesia
577,Alirajpur,IN,72.12,clear sky,22.3031,74.3546,,Shree Yatindrasuri Indra Bhavan
578,Waingapu,ID,83.66,overcast clouds,-9.6567,120.2641,,Pondok Wisata Elim
579,Varzea Grande,BR,85.87,broken clouds,-15.6467,-56.1325,,Hotel Express
580,Kabanjahe,ID,62.82,overcast clouds,3.1001,98.4908,,Kos-Kosan wanita muslim bagoes kabanjahe
581,Kolobrzeg,PL,64.15,light rain,54.1757,15.5834,,Doris SPA
583,Fortuna,US,68.94,clear sky,40.5982,-124.1573,,Super 8 by Wyndham Fortuna
584,Port Hardy,CA,60.98,broken clouds,50.6996,-127.4199,,Airport Inn-Port Hardy
587,Tena,EC,71.6,broken clouds,-0.9833,-77.8167,,Hostal Tena Ñaui
588,Macenta,GN,67.84,few clouds,8.5435,-9.471,,Hôtel Yansané
589,Saurimo,AO,64.15,moderate rain,-9.6608,20.3916,,Hotel Kawissa Saurimo
590,Kalaleh,IR,66.16,broken clouds,37.3807,55.4916,,عطر و ادکلن پارسیس
592,Afua,BR,79.79,scattered clouds,-0.1567,-50.3867,,Hotel Dias
596,Eureka,US,72.68,overcast clouds,40.8021,-124.1637,,Eureka Inn Trademark By Wyndham
597,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,,Hotel Kununurra
604,Riyadh,SA,71.74,overcast clouds,24.6877,46.7219,,"InterContinental Riyadh, an IHG Hotel"
605,Pathein,MM,73.18,scattered clouds,16.7833,94.7333,,Pathein Hotel
607,Laksham,BD,72.12,clear sky,23.2472,91.1425,,MRI ROBEL
610,Sibolga,ID,76.87,overcast clouds,1.7427,98.7792,,Hotel Syariah CN Darussalam
614,Ilebo,CD,69.58,broken clouds,-4.3167,20.5833,,Hôtel BUMAK
616,Paita,PE,63.28,scattered clouds,-5.0892,-81.1144,,Hotel Náutico de Paita
617,Porto Walter,BR,74.82,broken clouds,-8.2686,-72.7439,,Hotel Silva
619,Mae Sai,TH,66.54,overcast clouds,20.4335,99.8762,,Piyaporn Hill Paradise Hotel
621,Bumba,CD,70.43,overcast clouds,2.1833,22.4667,,Père Carlos
622,Conde,BR,76.46,few clouds,-7.2597,-34.9075,,Pousada Beija Flor
624,Manga,BF,78.33,scattered clouds,11.6636,-1.0731,,Auberge du 11 décembre de la cité CNSS à Manga
625,Marsa Matruh,EG,70.0,broken clouds,31.3525,27.2453,,Beau Site
627,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,,Hotel Marilu
629,Mercedes,AR,61.79,broken clouds,-34.6515,-59.4307,,Posada del Inti Centro
636,Ilo,PE,61.34,few clouds,-17.6394,-71.3375,,Torreblanca Hotel
637,Am Timan,TD,73.98,overcast clouds,11.0297,20.2827,,Palais du chef Canton Salamt
638,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,,hotel la terminal
639,Inyonga,TZ,75.61,overcast clouds,-6.7167,32.0667,,Eden Rock Lodge
640,Loutra,GR,60.28,few clouds,39.0569,26.545,,Aklidi Hotel
641,Kyaikkami,MM,75.07,clear sky,16.08,97.5675,,St. joseph catholic church
642,Anamur,TR,71.65,broken clouds,36.0751,32.8369,,Luna Piena Beach Hotel
643,Nago,JP,72.45,overcast clouds,26.5881,127.9761,,Hotel Yugaf Inn Okinawa
644,Abaetetuba,BR,77.22,scattered clouds,-1.7181,-48.8825,,Hotel Joanayna
645,Ormara,PK,79.95,clear sky,25.2088,64.6357,,Kenara Colony House for Rent
649,Umm Lajj,SA,81.09,clear sky,25.0213,37.2685,,Moon light Furnished Units
651,Moindou,NC,78.96,overcast clouds,-21.6924,165.677,,Equi-lodge de Moindou
652,Oussouye,SN,82.49,broken clouds,12.485,-16.5469,,Auberge du Routard
653,Metro,ID,77.7,broken clouds,-5.1131,105.3067,,OYO 3177 Wisma Lintang
656,Paka,MY,75.13,scattered clouds,4.6374,103.4368,,RUMBIA RESORT VILLA Paka Terengganu
657,Taruma,BR,77.07,overcast clouds,-22.7467,-50.5772,,Hotel Tarumã Alvorada
658,Emerald,AU,76.33,overcast clouds,-23.5333,148.1667,,The Irish Village
659,Betul,IN,68.0,scattered clouds,21.9153,77.8961,,STARiHotel Betul MP
660,Belize,BZ,84.52,overcast clouds,17.25,-88.75,,Villa San Juan
663,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,,Villa Park Hotel | Natal
664,Kroya,ID,78.22,overcast clouds,-7.6331,109.2461,,Wisma Legoq Kost
669,Dover,US,64.0,broken clouds,39.1582,-75.5244,,Bally's Dover Casino Resort
671,Itamarandiba,BR,67.68,few clouds,-17.8572,-42.8589,,Aricanduva Hotel
672,Soyo,AO,76.68,clear sky,-6.1349,12.3689,,Hospedaria ndozi'ame
675,Singkang,MY,76.1,overcast clouds,2.1006,102.7994,,Kampung Seri Makmor Pagoh
676,Waddan,LY,66.69,clear sky,29.1614,16.139,,محل الشريف محمد العايب
682,Tabuk,PH,77.85,overcast clouds,17.4189,121.4443,,Golden Berries Hotel and Convention
684,Redmond,US,71.89,few clouds,47.674,-122.1215,,Seattle Marriott Redmond
685,Barcelos,PT,64.85,few clouds,41.5388,-8.6151,,Hotel Do Terço
